,blackHoleAccretionRate,blackHoleEddingtonRatio,redshift_x,galaxy_id,blackHoleMass,index,htmid_8,magNorm,redshift_y,M_i,ra,dec,seed,agn_sf_u,agn_sf_g,agn_sf_r,agn_sf_i,agn_sf_z,agn_sf_y,agn_tau_u,agn_tau_g,agn_tau_r,agn_tau_i,agn_tau_z,agn_tau_y
65,2846087.5951847355,0.0015563030212348108,0.7832008837357858,1876317326,83124954.58647825,65,147048,26.107130709418264,0.7832008837357858,-17.182213678964963,52.525407943788096,-28.11544940928127,1934955.0,1.908,1.675,1.478,1.345,1.255,1.189,239.6,249.3,258.9,266.4,272.0,276.5
66,5854860.356886817,0.003691642126697659,0.8173301075115904,1876318009,72089874.12336022,66,147048,25.61439402826323,0.8173301075115904,-18.088490700901463,52.59182776154991,-28.04391060193407,4544091.0,1.176,1.036,0.9167,0.8362,0.7817,0.7417,144.9,151.9,159.0,164.5,168.7,172.1
67,11637813.47157662,0.002954740964467231,0.8114335496257579,1876319827,179031437.20440596,67,147049,24.863412869419797,0.8114335496257579,-18.80895898707677,52.780773006827516,-27.73734914700932,7325312.0,0.9766,0.8594,0.7604,0.6932,0.6478,0.6145,98.05,102.5,106.9,110.4,113.0,115.1
68,9685595.534405846,0.001863708072389479,0.8100358916507036,1876320167,236224947.99227786,68,147051,25.119748277724646,0.8100358916507036,-18.545371031387347,52.62997145858069,-27.73826118008331,4817177.0,1.207,1.061,0.938,0.8546,0.7982,0.7569,166.7,174.9,183.1,189.5,194.4,198.2
69,10228735.560515972,0.01141855940391312,0.8121206016338076,1876321393,40718142.19564893,69,147048,24.82353203004789,0.8121206016338076,-18.85240215374596,52.532441950663475,-28.016360005639665,5031139.0,0.9707,0.8527,0.7531,0.6857,0.6401,0.6068,361.8,378.9,396.1,409.5,419.7,427.8
70,2801881.304297283,0.011285890544848918,0.8148423043758841,1876322979,11284731.19585149,70,147172,26.254519803167874,0.8148423043758841,-17.435507966520728,52.79884752946693,-27.860254521275767,5116119.0,0.982,0.8627,0.7619,0.6937,0.6477,0.6139,42.39,44.06,45.72,47.02,47.99,48.76
71,6388354.132875492,0.0013693588692239686,0.8222759662925461,1876323110,212055247.04936105,71,147049,25.683406468958776,0.8222759662925461,-18.048449481940356,52.827287113436675,-27.709771530816806,4886051.0,1.629,1.431,1.265,1.152,1.075,1.019,166.0,172.3,178.5,183.4,187.1,189.9
72,59642315.10753765,0.002550719961100453,0.8070582328097113,1876323207,1062842791.2173804,72,147049,23.057012942565922,0.8070582328097113,-20.574921724544726,52.67587321266572,-27.540173950868017,6989897.0,0.9137,0.8028,0.7093,0.6459,0.6031,0.5718,116.9,122.1,127.2,131.2,134.2,136.6
73,17946271.776252624,0.0030915169794475074,0.802501456492273,1876323752,263863867.35585195,73,147051,24.292226510406184,0.802501456492273,-19.288525672351735,52.486658962218904,-27.659292808351015,6382470.0,1.226,1.076,0.9487,0.863,0.8052,0.7628,681.2,713.5,745.9,771.3,790.4,805.7
74,4533738.097904846,0.0022279021808914827,0.808231301357738,1876324153,92499125.95702873,74,147049,25.905032017704823,0.808231301357738,-17.740065288601887,52.68986403358672,-27.562289628283317,1960358.0,0.9973,0.8772,0.7756,0.7068,0.6603,0.6263,129.9,136.8,143.7,149.2,153.3,156.6
75,467815.53819041204,0.0010688874873290724,0.8153976501470637,1876329764,19893901.740915596,75,147048,28.53545951272496,0.8153976501470637,-15.157440383793947,52.6290601388013,-28.03302423754381,9138712.0,2.013,1.766,1.557,1.416,1.321,1.251,312.1,326.6,341.1,352.4,361.0,367.8
76,79217177.44597511,0.0012260513006622246,0.822050098826342,1876331163,2936892437.5790687,76,147174,22.945194662712044,0.822050098826342,-20.78515372213376,52.85668059497433,-27.791974144726307,7714637.0,1.101,0.9677,0.8555,0.7795,0.7281,0.6905,232.8,240.8,248.7,254.8,259.4,263.0
77,3244561.7301333793,0.0033760935715363683,0.8064472234861366,1876337120,43683646.651805386,77,147049,26.1939527893396,0.8064472234861366,-17.431123754000705,52.80805257692375,-27.595580139675672,2579010.0,1.431,1.255,1.106,1.006,0.9378,0.8882,150.7,158.0,165.4,171.2,175.6,179.1
78,4238309.103588091,0.0014003223180558046,0.8092032542125263,1876337304,137575764.74745676,78,147175,26.05295742037811,0.8092032542125263,-17.603041712923048,52.825275681770044,-27.859883263929987,8224498.0,1.514,1.332,1.178,1.074,1.003,0.9518,105.9,111.2,116.6,120.8,124.0,126.5
79,63903918.889081575,0.016353022984222716,0.8063781258964411,1876337497,177626093.27155,79,147049,22.720358482457918,0.8063781258964411,-20.903942397999455,52.69040433292474,-27.56893532120882,2860976.0,0.6278,0.552,0.4878,0.4444,0.4151,0.3936,176.7,184.5,192.2,198.3,202.9,206.5
80,1241724.9241569792,0.001997595448070444,0.7983546852700831,1876337651,28254991.300493307,80,147051,27.200704146559787,0.7983546852700831,-16.309725704795504,52.74203243832162,-27.787122198245306,443870.0,1.748,1.534,1.352,1.23,1.147,1.087,123.3,130.1,136.8,142.2,146.2,149.4
81,3564096.835643581,0.0014454255568410947,0.8149991191226234,1876341880,112080764.62562022,81,147049,26.272831836314868,0.8149991191226234,-17.418007067530542,52.77414716626804,-27.76452271655502,1013437.0,1.464,1.288,1.139,1.038,0.9693,0.9192,196.6,205.9,215.4,222.7,228.3,232.7
82,367162.1356513529,0.0013844984188801607,0.8090933446471826,1876342852,12054320.724794548,82,147051,28.726810257634853,0.8090933446471826,-14.927956272862431,52.680014271905165,-27.736993645385553,8473266.0,1.881,1.655,1.464,1.334,1.247,1.182,616.3,645.6,675.0,698.0,715.4,729.3
83,10449726.402007975,0.002702838797992178,0.8003547239721296,1876343667,175736549.32010114,83,147051,24.877508692633537,0.8003547239721296,-18.679102020722997,52.657836818184805,-27.724500905194823,5540805.0,1.226,1.077,0.9506,0.8653,0.8077,0.7655,345.9,364.1,382.5,397.0,408.0,416.7
